Wind speed;Power;Wind direction
3.5;0.7;38.799999
5.1;1.4;352.600006
4.8;1.4;345.5
2.3;0;42.700001
4.1;0;352
3.6;0.3;359
4.4;0.8;331.300018
5.2;2.7;4.5
3.2;1;10.7
4.8;1.7;33.600002
2.7;0;358.100006
3.7;1;342
2.3;0;26.5
2.6;0;318.200012
3.6;0;341.700012
3.1;0.2;344.5
2.2;0;14.1
2.9;0;344.399994
2.4;0;47.600002
2.9;0.7;318.800018
3.5;0.7;327.399994
4.6;0.9;358.200012
3.1;0;348.200012
4;0.4;337.200012
4;0;332.600006
3.2;0;333.200012
2.7;0;35.600002
1.9;0;341.399994
2.4;0;16.5
2.7;0;337.5
2.7;0;27.6
3.6;0;44.200001
2.8;0;56.200001
2.8;0;6
2.2;0;22.300001
1.6;0;14.7
1.2;0;18.300001
1.3;0;357
1.5;0;4.6
2.1;0;351.899994
2;0;341.300018
2.1;0;350.899994
1.9;0;336.600006
3;0;332.700012
1.7;0;354.200012
1.5;0;14.2
2.1;0;0.5
1.5;0;346.800018
2.3;0;9.900001
3.3;0;10.1
1.7;0;53
1.4;0;26.9
1.7;0;10.2
2.1;0;355.300018
3.1;0;343.600006
2.8;0;341.899994
3;0;345.700012
3;0;342.300018
2.9;0;8.5
1.5;0;50.900002
1.8;0;2.3
1.5;0;30.800001
1.6;0;356.300018
1.2;0;40.900002
3.6;0;327.200012
3.8;0;355.800018
2.8;0;330
2.8;0;339.100006
3;0;337.800018
2.5;0;333.200012
2.9;0;347.100006
2.9;0;340.200012
2.5;0;332.800018
2.3;0;340.600006
2.5;0;355.399994
1.9;0;322.600006
2.4;0;344.200012
1.4;0;332.300018
1.4;0;0.5
1.6;0;347.700012
1;0;318.5
2.3;0;328.899994
1.7;0;329.100006
2.5;0;348.100006
1.9;0;346.300018
1.4;0;358.399994
1.4;0;345
1.2;0;353.100006
2.8;0;329.899994
2.6;0;337.899994
1.7;0;340.800018
2.1;0;336.600006
2.4;0;358.100006
2.9;0;57.5
2;0;51.100002
1.6;0;331
2.1;0;354.200012
2;0;346.100006
1.3;0;356
1.9;0;324.700012
2.6;0;329.200012
1.6;0;313.700012
1;0;18.9
1.4;0;341.399994
1.2;0;315.399994
1.5;0;27
1.4;0;51.5
0.7;0;59.600002
2.4;0;34.299999
1.9;0;42.100002
1.6;0;22.700001
1.8;0;72.300003
1.6;0;21.700001
1.6;0;59.5
1.3;0;66.200005
1.5;0;53.5
0.8;0;55.799999
0.9;0;355.899994
1.5;0;337.600006
1.8;0;357.800018
1.3;0;356.5
2.1;0;335.100006
2.3;0;317.600006
1.8;0;330.300018
2.3;0;317.800018
2.6;0;321.200012
2.1;0;338.100006
1.9;0;319.800018
1.5;0;321
1.9;0;327.600006
1.6;0;314.700012
2.3;0;295.600006
1.3;0;293.5
1.3;0;312.800018
1.8;0;281.600006
2.1;0;330.600006
3;0;320.700012
3.1;0;313.100006
2.5;0;310.100006
2.5;0;293.200012
2.4;0;295.800018
2.7;0;305.399994
2.5;0;318.800018
2.5;0;323.800018
2.8;0;324.399994
3.1;0;303.399994
1.8;0;313.899994
1.4;0;331.200012
2.3;0;332.300018
1.9;0;340.800018
1.3;0;330.600006
2.9;0;299.300018
2.5;0;315
3.4;0;307.800018
2.8;0;313
2.6;0;308.700012
3.5;0;286.700012
2.8;0;303.800018
2.2;0;315.399994
2.1;0;296.800018
3;0;314.399994
3.2;0;321.399994
3.5;0;310.300018
2.8;0;320.899994
2.6;0;314.399994
1.3;0;286.700012
1.3;0;315
2.6;0;329
2.3;0;319
2.9;0;310.700012
1.4;0;302.800018
2.7;0;299.700012
2.4;0;287.100006
3.1;0;299.700012
2.4;0;282.600006
2.3;0;298.100006
1.8;0;287.800018
